城市,時段,開始時間,結束時間,天氣現象,降雨機率(%),最低溫(C),最高溫(C)
嘉義縣,時段 1,2025-12-03 06:00:00,2025-12-03 18:00:00,晴時多雲,20,18,23
嘉義縣,時段 2,2025-12-03 18:00:00,2025-12-04 06:00:00,晴時多雲,10,15,19
嘉義縣,時段 3,2025-12-04 06:00:00,2025-12-04 18:00:00,晴時多雲,10,15,24
新北市,時段 1,2025-12-03 06:00:00,2025-12-03 18:00:00,陰有雨,70,17,20
新北市,時段 2,2025-12-03 18:00:00,2025-12-04 06:00:00,陰短暫雨,30,16,17
新北市,時段 3,2025-12-04 06:00:00,2025-12-04 18:00:00,陰時多雲短暫雨,30,16,19
嘉義市,時段 1,2025-12-03 06:00:00,2025-12-03 18:00:00,多雲,20,18,24
嘉義市,時段 2,2025-12-03 18:00:00,2025-12-04 06:00:00,晴時多雲,10,15,20
嘉義市,時段 3,2025-12-04 06:00:00,2025-12-04 18:00:00,晴時多雲,10,15,25
新竹縣,時段 1,2025-12-03 06:00:00,2025-12-03 18:00:00,陰短暫雨,30,17,19
新竹縣,時段 2,2025-12-03 18:00:00,2025-12-04 06:00:00,陰時多雲,20,16,17
新竹縣,時段 3,2025-12-04 06:00:00,2025-12-04 18:00:00,晴時多雲,10,16,20
新竹市,時段 1,2025-12-03 06:00:00,2025-12-03 18:00:00,陰短暫雨,30,17,19
新竹市,時段 2,2025-12-03 18:00:00,2025-12-04 06:00:00,多雲,20,16,17
新竹市,時段 3,2025-12-04 06:00:00,2025-12-04 18:00:00,晴時多雲,20,16,20
臺北市,時段 1,2025-12-03 06:00:00,2025-12-03 18:00:00,陰有雨,70,17,19
臺北市,時段 2,2025-12-03 18:00:00,2025-12-04 06:00:00,陰短暫雨,30,16,17
臺北市,時段 3,2025-12-04 06:00:00,2025-12-04 18:00:00,陰時多雲短暫雨,30,16,19
臺南市,時段 1,2025-12-03 06:00:00,2025-12-03 18:00:00,晴時多雲,20,19,24
臺南市,時段 2,2025-12-03 18:00:00,2025-12-04 06:00:00,晴時多雲,10,16,21
臺南市,時段 3,2025-12-04 06:00:00,2025-12-04 18:00:00,晴時多雲,10,16,23
宜蘭縣,時段 1,2025-12-03 06:00:00,2025-12-03 18:00:00,陰有雨,70,17,18
宜蘭縣,時段 2,2025-12-03 18:00:00,2025-12-04 06:00:00,陰短暫雨,50,16,17
宜蘭縣,時段 3,2025-12-04 06:00:00,2025-12-04 18:00:00,陰短暫雨,70,16,17
苗栗縣,時段 1,2025-12-03 06:00:00,2025-12-03 18:00:00,陰時多雲短暫雨,30,17,20
苗栗縣,時段 2,2025-12-03 18:00:00,2025-12-04 06:00:00,多雲時陰,10,15,17
苗栗縣,時段 3,2025-12-04 06:00:00,2025-12-04 18:00:00,晴時多雲,10,14,21
雲林縣,時段 1,2025-12-03 06:00:00,2025-12-03 18:00:00,晴時多雲,20,17,23
雲林縣,時段 2,2025-12-03 18:00:00,2025-12-04 06:00:00,多雲時晴,10,15,19
雲林縣,時段 3,2025-12-04 06:00:00,2025-12-04 18:00:00,晴時多雲,10,15,24
花蓮縣,時段 1,2025-12-03 06:00:00,2025-12-03 18:00:00,陰短暫雨,30,20,22
花蓮縣,時段 2,2025-12-03 18:00:00,2025-12-04 06:00:00,陰時多雲,20,18,20
花蓮縣,時段 3,2025-12-04 06:00:00,2025-12-04 18:00:00,陰時多雲短暫雨,30,18,20
臺中市,時段 1,2025-12-03 06:00:00,2025-12-03 18:00:00,陰時多雲,20,19,22
臺中市,時段 2,2025-12-03 18:00:00,2025-12-04 06:00:00,晴時多雲,10,16,19
臺中市,時段 3,2025-12-04 06:00:00,2025-12-04 18:00:00,晴時多雲,10,16,24
臺東縣,時段 1,2025-12-03 06:00:00,2025-12-03 18:00:00,陰時多雲,20,21,24
臺東縣,時段 2,2025-12-03 18:00:00,2025-12-04 06:00:00,陰時多雲,20,18,21
臺東縣,時段 3,2025-12-04 06:00:00,2025-12-04 18:00:00,多雲時陰,20,18,22
桃園市,時段 1,2025-12-03 06:00:00,2025-12-03 18:00:00,陰短暫雨,50,17,19
桃園市,時段 2,2025-12-03 18:00:00,2025-12-04 06:00:00,陰時多雲短暫雨,30,16,17
桃園市,時段 3,2025-12-04 06:00:00,2025-12-04 18:00:00,陰時多雲短暫雨,30,16,19
南投縣,時段 1,2025-12-03 06:00:00,2025-12-03 18:00:00,多雲時陰,20,17,23
南投縣,時段 2,2025-12-03 18:00:00,2025-12-04 06:00:00,晴時多雲,10,15,19
南投縣,時段 3,2025-12-04 06:00:00,2025-12-04 18:00:00,晴時多雲,10,15,24
高雄市,時段 1,2025-12-03 06:00:00,2025-12-03 18:00:00,晴時多雲,20,21,27
高雄市,時段 2,2025-12-03 18:00:00,2025-12-04 06:00:00,多雲時晴,10,18,24
高雄市,時段 3,2025-12-04 06:00:00,2025-12-04 18:00:00,晴時多雲,10,18,24
金門縣,時段 1,2025-12-03 06:00:00,2025-12-03 18:00:00,多雲,20,15,19
金門縣,時段 2,2025-12-03 18:00:00,2025-12-04 06:00:00,晴時多雲,10,13,15
金門縣,時段 3,2025-12-04 06:00:00,2025-12-04 18:00:00,晴時多雲,10,13,18
屏東縣,時段 1,2025-12-03 06:00:00,2025-12-03 18:00:00,晴時多雲,20,20,27
屏東縣,時段 2,2025-12-03 18:00:00,2025-12-04 06:00:00,多雲時晴,10,18,24
屏東縣,時段 3,2025-12-04 06:00:00,2025-12-04 18:00:00,晴時多雲,10,18,25
基隆市,時段 1,2025-12-03 06:00:00,2025-12-03 18:00:00,陰有雨,70,18,19
基隆市,時段 2,2025-12-03 18:00:00,2025-12-04 06:00:00,陰短暫雨,40,16,18
基隆市,時段 3,2025-12-04 06:00:00,2025-12-04 18:00:00,陰短暫雨,50,16,19
澎湖縣,時段 1,2025-12-03 06:00:00,2025-12-03 18:00:00,陰時多雲,20,19,22
澎湖縣,時段 2,2025-12-03 18:00:00,2025-12-04 06:00:00,晴時多雲,10,18,19
澎湖縣,時段 3,2025-12-04 06:00:00,2025-12-04 18:00:00,晴時多雲,10,18,20
彰化縣,時段 1,2025-12-03 06:00:00,2025-12-03 18:00:00,多雲時陰,20,18,22
彰化縣,時段 2,2025-12-03 18:00:00,2025-12-04 06:00:00,晴時多雲,10,16,18
彰化縣,時段 3,2025-12-04 06:00:00,2025-12-04 18:00:00,晴時多雲,10,16,23
連江縣,時段 1,2025-12-03 06:00:00,2025-12-03 18:00:00,多雲,20,14,17
連江縣,時段 2,2025-12-03 18:00:00,2025-12-04 06:00:00,晴時多雲,10,12,14
連江縣,時段 3,2025-12-04 06:00:00,2025-12-04 18:00:00,晴時多雲,10,12,15
